id, node_color
4543, FOR
47613, AGAINST
608583, AGAINST
2201181, FOR
2274201, FOR
3416681, AGAINST
5508012, AGAINST
5536782, DIVERSE
6135542, AGAINST
6529172, AGAINST
7970992, DIVERSE
8095632, FOR
8145642, AGAINST
8220122, AGAINST
8283682, AGAINST
8306652, AGAINST
8821522, AGAINST
9519722, AGAINST
9520132, AGAINST
9930302, FOR
10841542, DIVERSE
14216583, AGAINST
14315020, AGAINST
14327636, AGAINST
14368769, AGAINST
14407142, FOR
14417841, FOR
14487000, FOR
14513512, DIVERSE
14642277, AGAINST
14746659, AGAINST
14803493, FOR
15111744, FOR
15229047, AGAINST
15376200, AGAINST
15459631, AGAINST
15808021, AGAINST
15863493, FOR
15944292, AGAINST
16248292, FOR
16586401, AGAINST
16591997, FOR
16624525, FOR
16714879, AGAINST
17654763, AGAINST
17676764, AGAINST
17688243, AGAINST
18252164, FOR
18267544, AGAINST
18567793, AGAINST
18725815, AGAINST
18771495, AGAINST
18805504, FOR
18838850, AGAINST
18844673, DIVERSE
18979423, AGAINST
19100952, AGAINST
19118845, FOR
19144564, AGAINST
19417982, AGAINST
19441636, AGAINST
19853731, FOR
20142322, AGAINST
20395687, AGAINST
20755611, AGAINST
20914880, DIVERSE
21854062, FOR
22696589, FOR
22855901, FOR
24511488, AGAINST
25049177, NEUTRAL
25386123, AGAINST
26024008, AGAINST
27600935, AGAINST
27866014, AGAINST
28695170, FOR
28849131, FOR
29132222, AGAINST
29829339, AGAINST
33278557, AGAINST
33495663, FOR
33616444, AGAINST
33642558, FOR
34239289, AGAINST
34350579, FOR
35246731, FOR
35688611, FOR
36447455, AGAINST
36636494, DIVERSE
37083778, AGAINST
39001298, AGAINST
39026616, AGAINST
39448872, AGAINST
40498330, FOR
40701142, AGAINST
40861501, FOR
41181758, FOR
41338398, FOR
42007376, FOR
42105589, FOR
42188352, AGAINST
42196320, FOR
42205837, FOR
42298695, AGAINST
42432365, AGAINST
42826901, DIVERSE
42898786, AGAINST
43590166, AGAINST
43756620, FOR
44317593, AGAINST
44336273, AGAINST
44450457, AGAINST
44635901, AGAINST
44650657, AGAINST
44671671, AGAINST
44860908, FOR
45939351, AGAINST
46083556, AGAINST
46862493, AGAINST
46996808, AGAINST
47140440, FOR
47485568, AGAINST
47607633, AGAINST
47744225, FOR
47890036, FOR
48231435, AGAINST
48236336, AGAINST
48280879, FOR
48528128, AGAINST
49053573, AGAINST
49054004, FOR
49109425, AGAINST
49286622, AGAINST
49399877, AGAINST
49605381, DIVERSE
49618611, AGAINST
49674370, FOR
49712000, FOR
49979877, AGAINST
50068124, FOR
50426168, AGAINST
50576292, AGAINST
50613144, AGAINST
51082361, AGAINST
51096905, FOR
51181826, FOR
51273610, AGAINST
51484467, AGAINST
51587969, AGAINST
52017541, AGAINST
52032722, DIVERSE
52067288, FOR
52357763, DIVERSE
52517368, AGAINST
52695697, FOR
52711966, AGAINST
53020914, AGAINST
53059376, DIVERSE
53381933, AGAINST
53644973, AGAINST
53685584, AGAINST
53913397, AGAINST
54178696, FOR
54534632, FOR
54634708, AGAINST
54921274, AGAINST
55003417, AGAINST
55160020, AGAINST
55222094, FOR
55387911, FOR
55509279, AGAINST
56001115, AGAINST
56643210, FOR
57414039, NEUTRAL
57898301, FOR
57967388, FOR
58017260, FOR
58097917, AGAINST
58862696, AGAINST
59042590, FOR
59247457, FOR
60179863, FOR
60478735, FOR
60598920, NEUTRAL
60688014, FOR
60926105, FOR
61726222, DIVERSE
61826424, AGAINST
61866041, AGAINST
62385539, AGAINST
62397313, AGAINST
62596003, AGAINST
62851644, AGAINST
62898306, AGAINST
63512448, AGAINST
64012045, AGAINST
64048909, AGAINST
64654402, FOR
65614363, FOR
65695963, AGAINST
66080118, DIVERSE
66953003, AGAINST
67386812, AGAINST
67480566, AGAINST
67865533, AGAINST
68219352, AGAINST
68512320, AGAINST
68634955, AGAINST
68996739, FOR
69948337, AGAINST
71148647, FOR
71516564, DIVERSE
72192344, AGAINST
72445897, AGAINST
73222320, AGAINST
73458071, AGAINST
73813160, DIVERSE
73848348, FOR
75642402, DIVERSE
75997536, FOR
76379893, AGAINST
77165468, FOR
77353499, AGAINST
77685623, FOR
77698661, FOR
77726524, FOR
77968716, AGAINST
77985060, FOR
78388129, FOR
78593879, AGAINST
79261474, FOR
79699691, AGAINST
80573898, FOR
80886145, AGAINST
80898912, AGAINST
81566464, FOR
81628534, AGAINST
81871859, AGAINST
81885178, AGAINST
82163872, FOR
82477460, FOR
83213474, FOR
83710870, FOR
83861468, AGAINST
84303397, AGAINST
84723813, FOR
85170290, AGAINST
86266936, FOR
86505882, AGAINST
87446196, AGAINST
87768852, AGAINST
88039703, AGAINST
88320350, AGAINST
88395023, FOR
89061919, FOR
89221733, DIVERSE
89501558, AGAINST
89970086, AGAINST
91753156, AGAINST
91777826, FOR
92053840, AGAINST
92242395, FOR
92244143, AGAINST
93379287, FOR
93491791, DIVERSE
93594398, FOR
93856948, AGAINST
94064477, AGAINST
94454751, AGAINST
94607562, DIVERSE
94774012, AGAINST
94891771, AGAINST
95154928, AGAINST
96366760, AGAINST
96898562, NEUTRAL
97232128, FOR
97508178, FOR
97717418, AGAINST
97999053, DIVERSE
98171528, FOR
98367469, DIVERSE
98625684, AGAINST
99060714, AGAINST
99061227, AGAINST
99087622, AGAINST
99142952, AGAINST
99341545, AGAINST
99350489, AGAINST
