id, node_color
2274201, FOR
7970992, DIVERSE
14513512, DIVERSE
15111744, FOR
16248292, FOR
16591997, FOR
16624525, FOR
22855901, FOR
33642558, FOR
36636494, DIVERSE
42196320, FOR
51096905, FOR
51181826, FOR
52067288, FOR
52695697, FOR
53059376, DIVERSE
55222094, FOR
57898301, FOR
58017260, FOR
66080118, DIVERSE
71516564, DIVERSE
75997536, FOR
77685623, FOR
80573898, FOR
80886145, AGAINST
82477460, FOR
93491791, DIVERSE
94607562, DIVERSE
97232128, FOR
98367469, DIVERSE
100201393, FOR
100514614, FOR
105142527, DIVERSE
109035884, DIVERSE
111304633, FOR
121237558, DIVERSE
121765080, FOR
122597939, FOR
125273218, FOR
128628690, DIVERSE
130533425, DIVERSE
131418979, AGAINST
133266187, DIVERSE
136982031, FOR
146159534, FOR
148306893, FOR
153845698, FOR
156099077, FOR
158534282, FOR
159952000, FOR
161113335, FOR
161646679, FOR
162681371, FOR
163041731, FOR
164979109, DIVERSE
167231567, FOR
167990892, FOR
168755227, FOR
171244078, FOR
179897514, FOR
182473366, FOR
191803770, FOR
195793173, FOR
198597387, DIVERSE
205621191, FOR
207197069, FOR
216289357, FOR
217263597, FOR
220892003, FOR
223544950, DIVERSE
230702066, FOR
230971152, FOR
237826721, DIVERSE
238897491, FOR
239079562, FOR
243589241, FOR
243687497, FOR
243775933, FOR
244117351, FOR
245289844, DIVERSE
246713125, FOR
246747627, FOR
246754124, FOR
247227134, FOR
247468980, FOR
247483746, FOR
247912552, FOR
248296799, FOR
248757465, DIVERSE
249073389, FOR
249144163, DIVERSE
249654545, FOR
250234024, FOR
250295048, FOR
251100437, FOR
252254904, FOR
252957203, FOR
254665376, FOR
254681551, FOR
255587866, FOR
255947148, FOR
257109468, FOR
257257669, FOR
257651159, FOR
257841422, FOR
258090997, FOR
258941240, FOR
259617134, FOR
259811618, FOR
260454625, FOR
260723375, FOR
261195951, FOR
262457844, AGAINST
262819428, FOR
263431314, FOR
263543391, FOR
263891746, FOR
267086129, FOR
267714517, DIVERSE
268545568, FOR
269512392, FOR
271127943, FOR
272377371, FOR
274530882, DIVERSE
274895833, DIVERSE
275412646, FOR
275694766, FOR
277173857, FOR
280393461, FOR
280434016, FOR
281160360, FOR
281269490, FOR
281462367, DIVERSE
282065689, FOR
284655413, FOR
285620504, FOR
289818218, FOR
290178890, DIVERSE
290632880, FOR
290722577, DIVERSE
291908441, FOR
294513254, FOR
295113790, FOR
297419374, DIVERSE
298512955, DIVERSE
298664575, FOR
301120393, FOR
301883514, FOR
305587868, DIVERSE
306260807, FOR
306967618, FOR
319901569, DIVERSE
320954038, FOR
321000177, FOR
325675081, FOR
326074480, FOR
326117650, FOR
326987255, FOR
327722701, FOR
328206473, FOR
331107509, FOR
332589385, FOR
334057976, FOR
334670309, FOR
340968723, FOR
346145376, FOR
353011926, FOR
356329385, FOR
357239860, FOR
358040356, FOR
359605953, FOR
360771414, FOR
362502852, FOR
363246406, FOR
363845524, DIVERSE
368142886, FOR
369608964, DIVERSE
370556715, DIVERSE
371746639, FOR
373866126, FOR
375468504, FOR
377062312, DIVERSE
377220633, FOR
378231256, DIVERSE
380199423, FOR
380547397, FOR
382843259, FOR
384230724, FOR
384429991, FOR
385315022, FOR
385350273, FOR
385535951, FOR
390731294, FOR
392388189, DIVERSE
394830809, FOR
396409525, FOR
397528198, FOR
398171803, FOR
399963628, FOR
408901457, FOR
411346195, FOR
414187574, DIVERSE
414236195, FOR
416064924, FOR
416248929, FOR
416440594, FOR
418443466, FOR
418661016, FOR
419233834, FOR
420525002, FOR
421110584, DIVERSE
421721826, DIVERSE
421890530, FOR
425687930, FOR
425912197, FOR
429220230, FOR
431337155, FOR
432424572, FOR
432618159, DIVERSE
432844043, DIVERSE
432897186, FOR
441893248, FOR
442823413, FOR
444875725, FOR
445152825, FOR
445293273, FOR
446318129, FOR
448374467, FOR
450704412, FOR
452368170, FOR
453103180, FOR
453428269, FOR
455143024, FOR
455986864, DIVERSE
458334386, FOR
458777194, FOR
460729951, FOR
463854509, FOR
464677630, FOR
464820783, FOR
464834664, DIVERSE
467422520, FOR
469544027, FOR
470102762, FOR
476155432, FOR
476356296, FOR
476847191, DIVERSE
490086192, FOR
490866101, DIVERSE
491283324, FOR
497289899, FOR
500669870, FOR
501961323, FOR
502047042, DIVERSE
504871395, FOR
508780354, FOR
512983828, FOR
518174591, FOR
518476056, FOR
518633657, FOR
520407281, FOR
526343521, FOR
534700107, FOR
541486090, FOR
542066844, FOR
548331624, FOR
549912548, FOR
551570668, FOR
552747318, FOR
552909996, FOR
561526649, FOR
563885375, FOR
567229050, FOR
567564394, FOR
573759957, FOR
575277349, DIVERSE
586845018, FOR
587672411, FOR
592031222, FOR
592314798, FOR
595946021, FOR
597101298, FOR
603664587, FOR
608149239, FOR
615314107, FOR
622054128, FOR
624272728, DIVERSE
624557599, DIVERSE
624686972, FOR
625407310, AGAINST
633917122, FOR
634658827, FOR
635576995, FOR
701054891, FOR
709327033, FOR
712078254, DIVERSE
712363320, FOR
717826254, FOR
728704327, FOR
731326188, FOR
737493661, FOR
754335954, FOR
774667758, FOR
780305640, FOR
783313538, FOR
787211599, DIVERSE
793643882, FOR
805032212, FOR
829245931, FOR
836508619, FOR
839315774, DIVERSE
843208044, DIVERSE
849877411, FOR
856930862, FOR
857868018, FOR
859195092, FOR
868275978, FOR
880876537, FOR
886724197, FOR
889171106, DIVERSE
891448122, FOR
895573358, FOR
916943462, AGAINST
927351564, DIVERSE
930331530, FOR
930529058, FOR
933132060, FOR
937379768, FOR
941413286, DIVERSE
950322907, DIVERSE
956175625, FOR
961006244, FOR
961361910, FOR
968573936, FOR
974334108, FOR
974476958, FOR
978763766, FOR
995569525, FOR
995787391, FOR
996619939, FOR
997139719, FOR
999015997, DIVERSE
999319958, FOR
1002650592, DIVERSE
1002844374, DIVERSE
1002901490, FOR
1011066157, FOR
1011455700, FOR
1015834099, FOR
1016229366, FOR
1018255609, FOR
1050858158, FOR
1061600605, FOR
1092542761, FOR
1096742725, FOR
1103047946, FOR
1106086345, FOR
1133951125, FOR
1134792108, FOR
1136829066, FOR
1143380820, FOR
1149393944, FOR
1157901540, FOR
1173187458, FOR
1183658534, DIVERSE
1191248822, DIVERSE
1194109814, DIVERSE
1203080628, FOR
1216808342, FOR
1227011635, FOR
1257203264, FOR
1259129132, DIVERSE
1263104942, FOR
1268283554, FOR
1269489475, FOR
1277585012, FOR
1278543582, FOR
1280752188, FOR
1296719946, FOR
1311797288, FOR
1314408758, FOR
1319102905, FOR
1331108335, FOR
1340258599, FOR
1340284172, FOR
1342636022, FOR
1343177136, FOR
1344275484, FOR
1348074644, FOR
1372859832, FOR
1385863352, FOR
1402376521, FOR
1419142478, FOR
1419314353, FOR
1428355872, DIVERSE
1438404972, FOR
1460798930, FOR
1481808284, FOR
1507042724, FOR
1519289173, FOR
1529698447, FOR
1539719550, FOR
1568597401, FOR
1570421118, FOR
1573631304, FOR
1591529323, FOR
1593211040, FOR
1596716028, FOR
1611310730, FOR
1641459038, DIVERSE
1654242836, FOR
1664756965, FOR
1673072192, FOR
1674151711, FOR
1674182551, FOR
1680934333, FOR
1682896310, FOR
1684309638, FOR
1686935504, FOR
1697458044, FOR
1701616772, FOR
1704039354, DIVERSE
1707859914, DIVERSE
1726649989, FOR
1728380701, FOR
1729699520, FOR
1837931984, DIVERSE
1843123872, FOR
1856606750, FOR
1887896845, FOR
1900215307, DIVERSE
1904138971, DIVERSE
1915568922, FOR
1927514377, DIVERSE
1936929722, FOR
1938878996, FOR
1968672823, FOR
1978375435, FOR
2154420058, FOR
2155529002, FOR
2156589938, FOR
2160833119, FOR
2165607934, FOR
2171133273, FOR
2172473723, FOR
2176137460, FOR
2180301033, FOR
2181760339, FOR
2192614378, FOR
2219659092, DIVERSE
2222192868, FOR
2223258386, FOR
2224879871, DIVERSE
2224962036, FOR
2230009800, FOR
2243855627, DIVERSE
2244139774, FOR
2249591503, DIVERSE
2258288874, DIVERSE
2263209383, FOR
2277166103, DIVERSE
2279394056, FOR
2291448871, AGAINST
2292758505, FOR
2307264856, FOR
2319225526, FOR
2319472112, FOR
2327623608, DIVERSE
2341078132, FOR
2352970223, FOR
2355396143, FOR
2371981753, FOR
2399339752, FOR
2407078978, FOR
2410896149, FOR
2412528170, FOR
2414842548, FOR
2417148120, FOR
2418269809, DIVERSE
2433468680, FOR
2437605457, FOR
2439895124, FOR
2441484007, FOR
2452783827, FOR
2453890849, FOR
2465152075, FOR
2474654286, FOR
2475077852, FOR
2484697919, DIVERSE
2490274032, FOR
2503914708, FOR
2504173933, FOR
2506738925, FOR
2519958769, FOR
2544099769, FOR
2573151897, DIVERSE
2580174954, DIVERSE
2587029252, FOR
2590295020, DIVERSE
2592887184, FOR
2594563700, DIVERSE
2596552855, FOR
2598427876, FOR
2605741696, FOR
2615512251, FOR
2622566769, DIVERSE
2664101982, FOR
2684813765, FOR
2699106120, AGAINST
2729104397, DIVERSE
2740581328, FOR
2741312973, FOR
2742009028, FOR
2757004405, FOR
2767955801, FOR
2767984869, FOR
2786115045, FOR
2787565554, FOR
2792971701, FOR
2793115700, DIVERSE
2803679022, FOR
2816925741, FOR
2820698229, FOR
2832605863, DIVERSE
2838205331, FOR
2843113073, FOR
2843702977, FOR
2847050771, FOR
2861144914, FOR
2869599169, FOR
2879877703, DIVERSE
2906797270, FOR
2909107988, FOR
2910159072, DIVERSE
2912596930, DIVERSE
2922054848, FOR
2926325320, DIVERSE
2930477478, FOR
2933874896, FOR
2936970156, FOR
2946131592, FOR
2946640166, FOR
2951658069, FOR
2954089838, FOR
2955998474, FOR
2970144881, FOR
2971173940, FOR
2978330167, FOR
2991599403, FOR
2998699488, FOR
2998822919, FOR
3001146040, FOR
3001841688, FOR
3003603519, FOR
3005789992, FOR
3017535223, FOR
3018337576, DIVERSE
3027921242, DIVERSE
3035120220, FOR
3055703094, FOR
3059821312, FOR
3065839685, FOR
3075912917, FOR
3079002699, FOR
3082136626, FOR
3094523876, FOR
3098099488, FOR
3119808109, FOR
3128735661, FOR
3142496604, FOR
3143064810, FOR
3154036550, DIVERSE
3181040100, FOR
3184239994, FOR
3216759105, DIVERSE
3225123970, FOR
3231024969, FOR
3233928748, FOR
3237687960, FOR
3250425110, FOR
3255760140, FOR
3260615157, DIVERSE
3293436133, FOR
3295932755, DIVERSE
3298662494, FOR
