source, target
2274201, 445293273
2274201, 2954089838
7970992, 301120393
7970992, 305587868
7970992, 886724197
7970992, 1385863352
7970992, 2319472112
7970992, 3003603519
7970992, 3255760140
7970992, 3435893926
7970992, 731448075105996800
14513512, 80573898
14513512, 198597387
14513512, 243687497
14513512, 290632880
14513512, 319901569
14513512, 326987255
14513512, 327722701
14513512, 328206473
14513512, 356329385
14513512, 445293273
14513512, 504871395
14513512, 518476056
14513512, 603664587
14513512, 608149239
14513512, 880876537
14513512, 974476958
14513512, 1259129132
14513512, 1344275484
14513512, 1641459038
14513512, 1938878996
14513512, 2154420058
14513512, 2437605457
14513512, 2484697919
14513512, 2587029252
14513512, 2592887184
14513512, 4759038255
14513512, 727087414389428224
14513512, 742307620606889984
14513512, 783099007971262464
14513512, 823468092407869440
14513512, 870392341546360834
14513512, 874658308547805184
14513512, 934228610772324352
14513512, 968898969681256448
15111744, 615314107
16248292, 71516564
16248292, 94607562
16248292, 301120393
16248292, 319901569
16248292, 754335954
16248292, 1728380701
16248292, 1927514377
16248292, 3055703094
16248292, 731448075105996800
16248292, 837081771472715781
16591997, 305587868
16591997, 2596552855
16624525, 22855901
16624525, 33642558
16624525, 80573898
16624525, 161113335
16624525, 238897491
16624525, 257257669
16624525, 281160360
16624525, 306260807
16624525, 356329385
16624525, 414187574
16624525, 432618159
16624525, 453428269
16624525, 455143024
16624525, 518476056
16624525, 567564394
16624525, 886724197
16624525, 999319958
16624525, 1227011635
16624525, 1319102905
16624525, 1673072192
16624525, 1680934333
16624525, 2219659092
16624525, 2861144914
16624525, 2933874896
16624525, 2955998474
16624525, 3055703094
16624525, 748084496965181440
16624525, 783099007971262464
16624525, 819246519983472652
16624525, 844546626299609088
16624525, 867959580432773121
16624525, 900358886129115142
22855901, 16624525
22855901, 82477460
22855901, 301120393
22855901, 1002844374
22855901, 2954089838
33642558, 16624525
33642558, 882265434900373505
36636494, 80573898
36636494, 156099077
36636494, 249144163
36636494, 254665376
36636494, 263891746
36636494, 326987255
36636494, 359605953
36636494, 377062312
36636494, 432424572
36636494, 518476056
36636494, 843208044
36636494, 1018255609
36636494, 1092542761
36636494, 1591529323
36636494, 1674182551
36636494, 2249591503
36636494, 2793115700
36636494, 3098099488
36636494, 3315972467
36636494, 3323870657
36636494, 3816773441
36636494, 706217324563578881
36636494, 736968449008766980
36636494, 744546109394124800
36636494, 936276091215413248
36636494, 962710365393080320
42196320, 75997536
42196320, 80573898
42196320, 121237558
42196320, 128628690
42196320, 133266187
42196320, 243687497
42196320, 246754124
42196320, 274895833
42196320, 326074480
42196320, 359605953
42196320, 369608964
42196320, 380547397
42196320, 399963628
42196320, 464834664
42196320, 476356296
42196320, 624272728
42196320, 999015997
42196320, 1002650592
42196320, 1277585012
42196320, 1280752188
42196320, 1340284172
42196320, 1664756965
42196320, 2573151897
42196320, 2699106120
42196320, 2742009028
42196320, 2847050771
42196320, 3065839685
42196320, 3327383174
42196320, 3816773441
42196320, 726196189524295680
42196320, 726911179063451648
42196320, 770917838919958528
42196320, 934121533559197697
42196320, 974952462405783552
51096905, 52067288
51096905, 301120393
51181826, 274530882
51181826, 453103180
51181826, 491283324
51181826, 970362267073155073
52067288, 51096905
52067288, 80573898
52067288, 238897491
52067288, 246754124
52067288, 249654545
52067288, 274895833
52067288, 297419374
52067288, 306967618
52067288, 377062312
52067288, 378231256
52067288, 380547397
52067288, 399963628
52067288, 432424572
52067288, 446318129
52067288, 476356296
52067288, 1061600605
52067288, 1278543582
52067288, 1593211040
52067288, 1673072192
52067288, 1707859914
52067288, 2277166103
52067288, 2279394056
52067288, 3260615157
52067288, 3393708244
52067288, 3413314515
52067288, 3816773441
52067288, 724530619087245312
52067288, 726911179063451648
52067288, 797352935432867840
52067288, 798592068679593984
52067288, 839466290217648128
52067288, 915384226270375943
52067288, 958368530843529216
52067288, 960429091211145217
52067288, 962647623567110144
52067288, 964085293455462402
52067288, 974739644154867712
52067288, 978402835476992000
52695697, 97232128
52695697, 327722701
52695697, 1385863352
53059376, 243775933
53059376, 249144163
53059376, 334057976
53059376, 346145376
53059376, 1385863352
53059376, 1460798930
53059376, 1529698447
53059376, 2223258386
53059376, 2292758505
53059376, 2594563700
53059376, 2622566769
53059376, 2699106120
53059376, 2926325320
53059376, 3303310637
53059376, 3413314515
53059376, 3978237134
53059376, 800285974030782464
53059376, 859522521238040576
53059376, 887472753405825024
53059376, 907721180538384384
53059376, 959959832152477696
53059376, 962341685027065856
53059376, 975667313574805504
53059376, 976218711832121344
55222094, 453103180
55222094, 886724197
55222094, 1002844374
57898301, 450704412
58017260, 290178890
58017260, 301120393
58017260, 306260807
58017260, 363246406
58017260, 615314107
58017260, 754335954
58017260, 886724197
58017260, 927351564
58017260, 1002844374
58017260, 1340284172
58017260, 1438404972
58017260, 2224962036
58017260, 2951658069
58017260, 2954089838
58017260, 942394622797639680
66080118, 301120393
66080118, 305587868
71516564, 16248292
71516564, 399963628
71516564, 421110584
71516564, 1728380701
71516564, 2544099769
71516564, 3055703094
71516564, 4627794393
71516564, 958368530843529216
75997536, 42196320
75997536, 301120393
75997536, 327722701
75997536, 328206473
75997536, 445293273
75997536, 526343521
75997536, 886724197
75997536, 1002844374
75997536, 1385863352
75997536, 2224962036
77685623, 281269490
77685623, 358040356
77685623, 375468504
77685623, 615314107
77685623, 1263104942
77685623, 2664101982
77685623, 772965676101341184
77685623, 960566026525081601
80573898, 14513512
80573898, 16624525
80573898, 36636494
80573898, 42196320
80573898, 52067288
80573898, 301120393
80573898, 305587868
80573898, 886724197
80573898, 1002844374
80573898, 1183658534
80573898, 2954089838
80573898, 3255760140
80573898, 4743471580
80573898, 724623535109472256
80573898, 794260826798559233
80886145, 2249591503
82477460, 22855901
82477460, 136982031
82477460, 158534282
82477460, 159952000
82477460, 230702066
82477460, 243687497
82477460, 247468980
82477460, 251100437
82477460, 254665376
82477460, 255587866
82477460, 274530882
82477460, 319901569
82477460, 377220633
82477460, 432424572
82477460, 453103180
82477460, 491283324
82477460, 497289899
82477460, 500669870
82477460, 567229050
82477460, 592314798
82477460, 603664587
82477460, 728704327
82477460, 783313538
82477460, 1529698447
82477460, 1641459038
82477460, 1664756965
82477460, 1728380701
82477460, 1904138971
82477460, 2165607934
82477460, 2292758505
82477460, 2352970223
82477460, 2399339752
82477460, 2475077852
82477460, 2580174954
82477460, 2592887184
82477460, 2598427876
82477460, 2615512251
82477460, 2820698229
82477460, 2954089838
82477460, 2955998474
82477460, 2970144881
82477460, 3018337576
82477460, 3094523876
82477460, 3216759105
82477460, 3318544431
82477460, 4381153354
82477460, 4544956708
82477460, 4759038255
82477460, 719277033503780865
82477460, 724530619087245312
82477460, 727087414389428224
82477460, 735560020310544389
82477460, 742799027587174400
82477460, 773054843950927872
82477460, 804021283646304256
82477460, 812330176939966464
82477460, 847360297660579840
82477460, 887472753405825024
82477460, 900058096034361345
82477460, 915384226270375943
82477460, 934395557531082752
82477460, 972975552905777154
82477460, 974405745688170497
82477460, 976913351556165632
93491791, 886724197
94607562, 16248292
94607562, 243775933
94607562, 261195951
94607562, 305587868
94607562, 526343521
94607562, 886724197
94607562, 1002844374
94607562, 1296719946
94607562, 1385863352
94607562, 2596552855
94607562, 837081771472715781
97232128, 52695697
97232128, 243687497
97232128, 249654545
97232128, 251100437
97232128, 319901569
97232128, 326074480
97232128, 377062312
97232128, 411346195
97232128, 586845018
97232128, 999015997
97232128, 1018255609
97232128, 1570421118
97232128, 1904138971
97232128, 2910159072
97232128, 3260615157
97232128, 3434708717
97232128, 3816773441
97232128, 713103256742936576
97232128, 726911179063451648
97232128, 744546109394124800
97232128, 784473829183807488
97232128, 885863112573952000
97232128, 928025225769443329
97232128, 955539844268220417
97232128, 968898969681256448
97232128, 973135425660432386
100201393, 334057976
100201393, 490086192
100201393, 1927514377
100201393, 3154036550
100201393, 967817169143828490
100514614, 2580174954
109035884, 161113335
109035884, 370556715
109035884, 419233834
109035884, 445293273
109035884, 450704412
109035884, 597101298
109035884, 1340284172
109035884, 1385863352
109035884, 1438404972
109035884, 1927514377
109035884, 2292758505
109035884, 2341078132
109035884, 2506738925
109035884, 2951658069
109035884, 727904477353783296
109035884, 729034544242933760
109035884, 748677935297593344
109035884, 799430289554624514
109035884, 803790087544770561
109035884, 860509901046640644
109035884, 892668385829564416
109035884, 907721180538384384
109035884, 918597513640374272
109035884, 925373976905420801
109035884, 929811697308717062
109035884, 955186904714170371
109035884, 970362267073155073
109035884, 977986486086840320
111304633, 567564394
111304633, 1183658534
121237558, 42196320
121237558, 843208044
121765080, 453103180
122597939, 445293273
122597939, 615314107
125273218, 467422520
125273218, 780305640
128628690, 42196320
128628690, 916943462
128628690, 2249591503
128628690, 2622566769
128628690, 2699106120
128628690, 732290670854017025
128628690, 941396980865093632
128628690, 960943194761498624
128628690, 962708176054472704
128628690, 975159819828125698
130533425, 837081771472715781
131418979, 2249591503
131418979, 732290670854017025
133266187, 42196320
133266187, 301120393
133266187, 445293273
136982031, 82477460
136982031, 268545568
136982031, 280434016
136982031, 425912197
136982031, 754335954
136982031, 1018255609
136982031, 1183658534
136982031, 1344275484
136982031, 1641459038
136982031, 2951658069
136982031, 3255760140
136982031, 727904477353783296
136982031, 800413017649266688
136982031, 839466290217648128
136982031, 915384226270375943
146159534, 301120393
146159534, 463854509
146159534, 1183658534
148306893, 1385863352
148306893, 2954089838
148306893, 719900617179860993
148306893, 837081771472715781
153845698, 2954089838
156099077, 36636494
156099077, 2156589938
158534282, 82477460
158534282, 301120393
158534282, 1002844374
158534282, 2580174954
158534282, 815626754765258753
159952000, 82477460
159952000, 780305640
161113335, 16624525
161113335, 109035884
161113335, 251100437
161113335, 275694766
161113335, 737493661
161113335, 1641459038
161113335, 2580174954
161113335, 718411200162361344
161113335, 729034544242933760
161113335, 783099007971262464
161646679, 453103180
161646679, 624686972
161646679, 2954089838
162681371, 450704412
162681371, 526343521
163041731, 295113790
163041731, 363246406
163041731, 624686972
163041731, 780305640
163041731, 886724197
163041731, 1136829066
163041731, 1257203264
163041731, 3003603519
163041731, 3255760140
163041731, 823468092407869440
164979109, 327722701
164979109, 916943462
167231567, 243775933
167231567, 301120393
167231567, 777376663634075648
167990892, 301120393
167990892, 445293273
167990892, 886724197
167990892, 2224962036
167990892, 2971173940
167990892, 3435893926
167990892, 942394622797639680
167990892, 947513994306351104
167990892, 955186904714170371
168755227, 886724197
168755227, 2156589938
171244078, 615314107
171244078, 1856606750
171244078, 2224962036
179897514, 615314107
182473366, 301120393
182473366, 886724197
182473366, 1385863352
182473366, 3255760140
182473366, 736509061441703936
182473366, 882265434900373505
191803770, 267714517
191803770, 290178890
191803770, 301120393
191803770, 886724197
191803770, 2156589938
195793173, 254681551
195793173, 754335954
195793173, 930331530
195793173, 1519289173
195793173, 2292758505
195793173, 2954089838
198597387, 14513512
198597387, 624686972
205621191, 453103180
207197069, 615314107
216289357, 238897491
216289357, 260723375
216289357, 467422520
216289357, 1002650592
216289357, 1419142478
216289357, 3055703094
216289357, 719277033503780865
216289357, 727087414389428224
216289357, 837081771472715781
216289357, 918474149139398657
216289357, 919293220542124032
217263597, 280393461
217263597, 497289899
217263597, 2160833119
217263597, 3318544431
217263597, 815626754765258753
220892003, 886724197
223544950, 248757465
223544950, 2594563700
230702066, 82477460
230702066, 267714517
230702066, 624686972
230702066, 780305640
230702066, 1002844374
230702066, 1183658534
230702066, 2951658069
230702066, 778378297541533696
230971152, 453103180
230971152, 1002844374
230971152, 2954089838
237826721, 567564394
237826721, 1340284172
238897491, 16624525
238897491, 52067288
238897491, 216289357
238897491, 301120393
238897491, 327722701
238897491, 624686972
238897491, 2224962036
238897491, 3003603519
238897491, 815626754765258753
239079562, 262457844
239079562, 3978237134
239079562, 830725698109263872
243589241, 1002844374
243687497, 14513512
243687497, 42196320
243687497, 82477460
243687497, 97232128
243687497, 252254904
243687497, 274530882
243687497, 290178890
243687497, 301120393
243687497, 320954038
243687497, 334057976
243687497, 363246406
243687497, 370556715
243687497, 390731294
243687497, 445293273
243687497, 615314107
243687497, 624686972
243687497, 754335954
243687497, 886724197
243687497, 1002844374
243687497, 1134792108
243687497, 1136829066
243687497, 1183658534
243687497, 1296719946
243687497, 1340284172
243687497, 1385863352
243687497, 1927514377
243687497, 2156589938
243687497, 2224962036
243687497, 2277166103
243687497, 2292758505
243687497, 2506738925
243687497, 2951658069
243687497, 2954089838
243687497, 3255760140
243687497, 3315499570
243687497, 727904477353783296
243687497, 731448075105996800
243687497, 736509061441703936
243687497, 740694544522608641
243687497, 778378297541533696
243687497, 794260826798559233
243687497, 799430289554624514
243687497, 803790087544770561
243687497, 821313315309834240
243687497, 837081771472715781
243687497, 892668385829564416
243687497, 925373976905420801
243687497, 925889904248344576
243687497, 933840582014918658
