source, target
2201181, 280996498
2201181, 3003603519
2274201, 280996498
2274201, 445293273
2274201, 2954089838
2274201, 3269041302
5536782, 14513512
5536782, 18252164
5536782, 22696589
5536782, 109035884
5536782, 116563859
5536782, 133266187
5536782, 167990892
5536782, 229980720
5536782, 246151121
5536782, 246702519
5536782, 251100437
5536782, 253670459
5536782, 257651159
5536782, 259811618
5536782, 263891746
5536782, 274530882
5536782, 276107545
5536782, 290632880
5536782, 298664575
5536782, 329681052
5536782, 334670309
5536782, 353011926
5536782, 374963228
5536782, 377220633
5536782, 382207674
5536782, 385535951
5536782, 394830809
5536782, 397528198
5536782, 399963628
5536782, 410523759
5536782, 416907987
5536782, 429749064
5536782, 436462735
5536782, 445293273
5536782, 451334972
5536782, 458334386
5536782, 542546670
5536782, 561526649
5536782, 584173449
5536782, 600360975
5536782, 603664587
5536782, 622054128
5536782, 737493661
5536782, 965981040
5536782, 1050858158
5536782, 1052277074
5536782, 1079047122
5536782, 1092542761
5536782, 1191602641
5536782, 1194109814
5536782, 1227011635
5536782, 1278543582
5536782, 1280752188
5536782, 1319102905
5536782, 1428355872
5536782, 1635306542
5536782, 1654242836
5536782, 1664756965
5536782, 1682896310
5536782, 1887896845
5536782, 1904138971
5536782, 1958127235
5536782, 2176137460
5536782, 2263209383
5536782, 2263344401
5536782, 2293590755
5536782, 2352970223
5536782, 2412528170
5536782, 2439895124
5536782, 2470783842
5536782, 2520773750
5536782, 2592887184
5536782, 2638628014
5536782, 2727642345
5536782, 2948787802
5536782, 2952265706
5536782, 2969495943
5536782, 3142496604
5536782, 3231024969
5536782, 3293354986
5536782, 3293827769
5536782, 3404633213
5536782, 3795619754
5536782, 4035726395
5536782, 4773370157
5536782, 709502333995057152
5536782, 719131608515747841
5536782, 756527278469898241
5536782, 764016376793014273
5536782, 779560091905384449
5536782, 797352935432867840
5536782, 799713172651261952
5536782, 812330176939966464
5536782, 814118882269138944
5536782, 815163954423037952
5536782, 836883916216754177
5536782, 837081771472715781
5536782, 837684644837457920
5536782, 839466290217648128
5536782, 846866511159574528
5536782, 868124533982711808
5536782, 873230353464471552
5536782, 876980951078899713
5536782, 877145999977926656
5536782, 885742228731285504
5536782, 887472753405825024
5536782, 889077250330591232
5536782, 896458181328744448
5536782, 914928591208665089
5536782, 920311880752750592
5536782, 923766052366028800
5536782, 927036529922502657
5536782, 927883904777940993
5536782, 929065207061676032
5536782, 931008157475835904
5536782, 933840582014918658
5536782, 934228610772324352
5536782, 947926097299206144
5536782, 949076624414212109
5536782, 952172276732039168
5536782, 954292325903163392
5536782, 955828986038407169
5536782, 962145975870672896
5536782, 964085293455462402
5536782, 967173540658237440
5536782, 975097263348383750
5536782, 976913351556165632
5536782, 978402835476992000
5536782, 978630238048604160
5536782, 978649690219696128
7970992, 52032722
7970992, 249920087
7970992, 280996498
7970992, 301120393
7970992, 305587868
7970992, 553785251
7970992, 886724197
7970992, 1385863352
7970992, 2319472112
7970992, 2582582359
7970992, 3003603519
7970992, 3255760140
7970992, 3435893926
7970992, 731448075105996800
7970992, 955828986038407169
7970992, 975821725177995264
8095632, 243775933
8095632, 249920087
8095632, 301120393
8095632, 930529058
8095632, 1303720952
8095632, 2224962036
9930302, 243775933
9930302, 269512392
9930302, 351328127
9930302, 1002844374
9930302, 1303720952
9930302, 1519289173
9930302, 2954089838
9930302, 3003603519
14407142, 217903646
14407142, 394864353
14407142, 567564394
14407142, 2223258386
14407142, 3255760140
14487000, 290178890
14487000, 305587868
14513512, 5536782
14513512, 60688014
14513512, 80573898
14513512, 198597387
14513512, 243687497
14513512, 258712643
14513512, 290632880
14513512, 319901569
14513512, 323870386
14513512, 326987255
14513512, 327722701
14513512, 328206473
14513512, 356329385
14513512, 445293273
14513512, 482201683
14513512, 504871395
14513512, 518476056
14513512, 551775993
14513512, 603664587
14513512, 608149239
14513512, 623245482
14513512, 880876537
14513512, 974476958
14513512, 996705444
14513512, 1259129132
14513512, 1382376949
14513512, 1418694061
14513512, 1641459038
14513512, 1938878996
14513512, 2154420058
14513512, 2437605457
14513512, 2484697919
14513512, 2582582359
14513512, 2587029252
14513512, 2592887184
14513512, 2718050437
14513512, 3917405725
14513512, 4759038255
14513512, 712612878717743104
14513512, 727087414389428224
14513512, 742307620606889984
14513512, 759107528454201344
14513512, 783099007971262464
14513512, 823468092407869440
14513512, 854982906791505920
14513512, 874658308547805184
14513512, 923766052366028800
14513512, 927883904777940993
14513512, 934228610772324352
14513512, 968898969681256448
14803493, 293534138
14803493, 301120393
14803493, 597101298
14803493, 1303720952
14803493, 1519289173
14803493, 2506738925
14803493, 2954089838
14803493, 778378297541533696
14803493, 837081771472715781
15111744, 615314107
15111744, 1321331874
16248292, 52032722
16248292, 71516564
16248292, 94607562
16248292, 142079464
16248292, 301120393
16248292, 319901569
16248292, 754335954
16248292, 1628921239
16248292, 1728380701
16248292, 1927514377
16248292, 2434118359
16248292, 2450520259
16248292, 3055703094
16248292, 731448075105996800
16248292, 837081771472715781
16248292, 897758646658060288
16624525, 22855901
16624525, 33642558
16624525, 80573898
16624525, 161113335
16624525, 238897491
16624525, 257257669
16624525, 281160360
16624525, 306260807
16624525, 318266377
16624525, 356329385
16624525, 414187574
16624525, 432618159
16624525, 453428269
16624525, 455143024
16624525, 518476056
16624525, 567564394
16624525, 886724197
16624525, 999319958
16624525, 1227011635
16624525, 1319102905
16624525, 1673072192
16624525, 1680934333
16624525, 2219659092
16624525, 2861144914
16624525, 2955998474
16624525, 3055703094
16624525, 748084496965181440
16624525, 783099007971262464
16624525, 819246519983472652
16624525, 844546626299609088
16624525, 867959580432773121
16624525, 900358886129115142
18252164, 5536782
18252164, 445293273
18252164, 1257203264
18252164, 794260826798559233
18844673, 305587868
21854062, 42196320
21854062, 166566887
21854062, 301120393
22696589, 5536782
22696589, 53059376
22696589, 572495887
22696589, 1002844374
22696589, 1728380701
22696589, 2156589938
22696589, 2352970223
22696589, 923766052366028800
22855901, 16624525
