id, node_color
5536782, NON_PROPAGANDA
7970992, DIVERSE
14513512, DIVERSE
25049177, NON_PROPAGANDA
36636494, DIVERSE
49605381, NON_PROPAGANDA
52032722, NON_PROPAGANDA
53059376, DIVERSE
71516564, DIVERSE
75642402, DIVERSE
89221733, DIVERSE
150614592, DIVERSE
169108336, DIVERSE
198597387, DIVERSE
224597174, DIVERSE
254020714, DIVERSE
254994054, NON_PROPAGANDA
260096049, DIVERSE
275942684, DIVERSE
290178890, DIVERSE
305587868, DIVERSE
325833975, DIVERSE
352489322, DIVERSE
390929996, DIVERSE
421110584, DIVERSE
433447968, NON_PROPAGANDA
437858391, NON_PROPAGANDA
475243789, DIVERSE
492993863, DIVERSE
624272728, NON_PROPAGANDA
624557599, DIVERSE
712078254, DIVERSE
1098929479, NON_PROPAGANDA
1259129132, DIVERSE
1339344901, DIVERSE
1403194518, NON_PROPAGANDA
1636246254, NON_PROPAGANDA
1837931984, NON_PROPAGANDA
2172260604, DIVERSE
2224879871, DIVERSE
2249591503, DIVERSE
2258288874, DIVERSE
2316138426, DIVERSE
2320815756, NON_PROPAGANDA
2504668991, DIVERSE
2524341163, NON_PROPAGANDA
2543403804, DIVERSE
2594563700, DIVERSE
2622566769, DIVERSE
2760211947, NON_PROPAGANDA
2793115700, DIVERSE
2832605863, DIVERSE
2917267619, NON_PROPAGANDA
3036240899, DIVERSE
3163721202, NON_PROPAGANDA
3425037503, NON_PROPAGANDA
3623556741, NON_PROPAGANDA
3816773441, DIVERSE
4309122147, NON_PROPAGANDA
4479261983, DIVERSE
4627794393, NON_PROPAGANDA
4643082382, DIVERSE
4756425089, DIVERSE
706955613838905345, DIVERSE
720702821843222529, DIVERSE
722481611330203649, DIVERSE
724542909450715136, NON_PROPAGANDA
732290670854017025, DIVERSE
739660228971659264, DIVERSE
759888056673505280, NON_PROPAGANDA
791502977488027648, NON_PROPAGANDA
795557721177227264, NON_PROPAGANDA
819276893874692096, DIVERSE
824912061423611904, DIVERSE
859522521238040576, DIVERSE
885270735014563840, NON_PROPAGANDA
897758646658060288, DIVERSE
903010726813601794, DIVERSE
936223866912935936, DIVERSE
941748940898291712, DIVERSE
946011088952483842, DIVERSE
952251270299086854, DIVERSE
956885668155752448, DIVERSE
961033699516141568, DIVERSE
962708176054472704, DIVERSE
978340608577277954, DIVERSE
