id, node_color
608583, NON_PROPAGANDA
6529172, NON_PROPAGANDA
8283682, DIVERSE
8306652, DIVERSE
10841542, DIVERSE
14327636, NON_PROPAGANDA
14368769, DIVERSE
14642277, NON_PROPAGANDA
15229047, DIVERSE
15459631, NON_PROPAGANDA
15944292, NON_PROPAGANDA
18567793, NON_PROPAGANDA
18725815, NON_PROPAGANDA
19100952, NON_PROPAGANDA
20755611, NON_PROPAGANDA
20914880, DIVERSE
24511488, NON_PROPAGANDA
27600935, NON_PROPAGANDA
27866014, NON_PROPAGANDA
29132222, DIVERSE
33278557, NON_PROPAGANDA
33616444, DIVERSE
36636494, DIVERSE
39448872, NON_PROPAGANDA
40701142, NON_PROPAGANDA
42188352, NON_PROPAGANDA
42196320, DIVERSE
42432365, DIVERSE
42826901, NON_PROPAGANDA
43590166, NON_PROPAGANDA
44450457, DIVERSE
44650657, DIVERSE
45939351, NON_PROPAGANDA
49286622, DIVERSE
49605381, NON_PROPAGANDA
49618611, DIVERSE
50426168, DIVERSE
50613144, DIVERSE
52017541, NON_PROPAGANDA
52032722, NON_PROPAGANDA
52357763, DIVERSE
52711966, DIVERSE
53059376, DIVERSE
53685584, NON_PROPAGANDA
55509279, DIVERSE
61826424, NON_PROPAGANDA
62397313, DIVERSE
63512448, DIVERSE
64048909, NON_PROPAGANDA
68512320, NON_PROPAGANDA
69948337, DIVERSE
71516564, DIVERSE
76379893, DIVERSE
77968716, NON_PROPAGANDA
78593879, DIVERSE
79699691, NON_PROPAGANDA
80886145, NON_PROPAGANDA
80898912, DIVERSE
81871859, DIVERSE
85170290, NON_PROPAGANDA
87768852, NON_PROPAGANDA
89221733, DIVERSE
94774012, NON_PROPAGANDA
97999053, DIVERSE
103591569, PROPAGANDA
104147896, NON_PROPAGANDA
105556464, DIVERSE
109035884, DIVERSE
111426825, NON_PROPAGANDA
114748010, DIVERSE
115884031, NON_PROPAGANDA
116179209, DIVERSE
116416539, NON_PROPAGANDA
117999229, DIVERSE
118970094, DIVERSE
121237558, DIVERSE
125434176, DIVERSE
125956386, NON_PROPAGANDA
126768770, DIVERSE
127663103, DIVERSE
128628690, DIVERSE
129024813, DIVERSE
