id, node_color
2201181, PROPAGANDA
2274201, DIVERSE
5536782, NON_PROPAGANDA
7970992, DIVERSE
8095632, PROPAGANDA
9930302, PROPAGANDA
14407142, PROPAGANDA
14487000, PROPAGANDA
14513512, DIVERSE
14803493, DIVERSE
15111744, DIVERSE
16248292, DIVERSE
16624525, DIVERSE
18252164, PROPAGANDA
18844673, DIVERSE
21854062, PROPAGANDA
22696589, PROPAGANDA
22855901, DIVERSE
33642558, DIVERSE
34350579, PROPAGANDA
35688611, PROPAGANDA
36636494, DIVERSE
40498330, PROPAGANDA
42105589, PROPAGANDA
42196320, DIVERSE
44860908, PROPAGANDA
47140440, PROPAGANDA
48280879, PROPAGANDA
49054004, PROPAGANDA
51096905, DIVERSE
51181826, DIVERSE
52032722, NON_PROPAGANDA
52067288, DIVERSE
52357763, DIVERSE
52695697, DIVERSE
53059376, DIVERSE
55387911, PROPAGANDA
56643210, PROPAGANDA
57967388, PROPAGANDA
58017260, DIVERSE
60688014, PROPAGANDA
61726222, PROPAGANDA
65614363, PROPAGANDA
71516564, DIVERSE
73813160, DIVERSE
75642402, DIVERSE
75997536, DIVERSE
77165468, PROPAGANDA
77685623, DIVERSE
77698661, PROPAGANDA
80573898, DIVERSE
80886145, NON_PROPAGANDA
82477460, DIVERSE
86266936, PROPAGANDA
89221733, DIVERSE
91777826, PROPAGANDA
93491791, DIVERSE
94607562, DIVERSE
97232128, DIVERSE
97508178, PROPAGANDA
98171528, PROPAGANDA
100201393, DIVERSE
103591569, PROPAGANDA
103973147, PROPAGANDA
104553834, PROPAGANDA
105556464, DIVERSE
106071386, PROPAGANDA
107686519, PROPAGANDA
109035884, DIVERSE
111304633, DIVERSE
116563859, PROPAGANDA
118970094, DIVERSE
119907791, PROPAGANDA
121237558, DIVERSE
122597939, DIVERSE
125273218, DIVERSE
129790596, DIVERSE
130850511, DIVERSE
132727343, PROPAGANDA
133266187, DIVERSE
133917845, PROPAGANDA
136371519, DIVERSE
136982031, DIVERSE
137140334, DIVERSE
138579657, DIVERSE
139646874, PROPAGANDA
142079464, PROPAGANDA
146159534, DIVERSE
148306893, DIVERSE
151208879, PROPAGANDA
157102137, PROPAGANDA
158534282, DIVERSE
160590039, PROPAGANDA
161113335, PROPAGANDA
161858629, DIVERSE
162385414, PROPAGANDA
163041731, DIVERSE
164709694, PROPAGANDA
165133475, PROPAGANDA
165908624, PROPAGANDA
166566887, PROPAGANDA
167231567, DIVERSE
167990892, DIVERSE
168755227, DIVERSE
171244078, DIVERSE
173308078, PROPAGANDA
174594415, DIVERSE
177154260, PROPAGANDA
178268100, PROPAGANDA
179131660, PROPAGANDA
179897514, DIVERSE
181274223, DIVERSE
182473366, DIVERSE
188340836, PROPAGANDA
189890093, PROPAGANDA
191803770, DIVERSE
195793173, DIVERSE
198597387, DIVERSE
202923888, DIVERSE
