id, node_color
4543, PROPAGANDA
47613, NON_PROPAGANDA
608583, NON_PROPAGANDA
2201181, PROPAGANDA
2274201, DIVERSE
3416681, NON_PROPAGANDA
5508012, NON_PROPAGANDA
5536782, NON_PROPAGANDA
6135542, NON_PROPAGANDA
6529172, NON_PROPAGANDA
7970992, DIVERSE
8095632, PROPAGANDA
8145642, NON_PROPAGANDA
8220122, NON_PROPAGANDA
8283682, DIVERSE
8306652, DIVERSE
8821522, NON_PROPAGANDA
9519722, PROPAGANDA
9520132, NON_PROPAGANDA
9930302, PROPAGANDA
10841542, DIVERSE
14216583, DIVERSE
14315020, NON_PROPAGANDA
14327636, NON_PROPAGANDA
14368769, DIVERSE
14407142, PROPAGANDA
14417841, NON_PROPAGANDA
14487000, PROPAGANDA
14513512, DIVERSE
14642277, NON_PROPAGANDA
14746659, NON_PROPAGANDA
14803493, DIVERSE
15111744, DIVERSE
15229047, DIVERSE
15376200, NON_PROPAGANDA
15459631, NON_PROPAGANDA
15808021, NON_PROPAGANDA
15863493, PROPAGANDA
15944292, NON_PROPAGANDA
16248292, DIVERSE
16586401, NON_PROPAGANDA
16591997, NON_PROPAGANDA
16624525, DIVERSE
16714879, NON_PROPAGANDA
17654763, PROPAGANDA
17676764, NON_PROPAGANDA
17688243, NON_PROPAGANDA
18252164, PROPAGANDA
18267544, NON_PROPAGANDA
18567793, NON_PROPAGANDA
18725815, NON_PROPAGANDA
18771495, NON_PROPAGANDA
18805504, PROPAGANDA
18838850, NON_PROPAGANDA
18844673, DIVERSE
18979423, NON_PROPAGANDA
19100952, NON_PROPAGANDA
19118845, PROPAGANDA
19144564, NON_PROPAGANDA
19417982, NON_PROPAGANDA
19441636, NON_PROPAGANDA
19853731, PROPAGANDA
20142322, NON_PROPAGANDA
20395687, NON_PROPAGANDA
20755611, NON_PROPAGANDA
20914880, DIVERSE
21854062, PROPAGANDA
22696589, PROPAGANDA
22855901, DIVERSE
24511488, NON_PROPAGANDA
25049177, NON_PROPAGANDA
25386123, NON_PROPAGANDA
26024008, NON_PROPAGANDA
27600935, NON_PROPAGANDA
27866014, NON_PROPAGANDA
28695170, PROPAGANDA
28849131, PROPAGANDA
29132222, DIVERSE
29829339, NON_PROPAGANDA
33278557, NON_PROPAGANDA
33495663, NON_PROPAGANDA
33616444, DIVERSE
33642558, DIVERSE
34239289, NON_PROPAGANDA
34350579, PROPAGANDA
35246731, NON_PROPAGANDA
35688611, PROPAGANDA
36447455, NON_PROPAGANDA
36636494, DIVERSE
37083778, NON_PROPAGANDA
39001298, NON_PROPAGANDA
39026616, NON_PROPAGANDA
39448872, NON_PROPAGANDA
40498330, PROPAGANDA
40701142, NON_PROPAGANDA
40861501, PROPAGANDA
41181758, PROPAGANDA
41338398, PROPAGANDA
42007376, PROPAGANDA
42105589, PROPAGANDA
42188352, NON_PROPAGANDA
