id, node_color
7970992, FOR
8283682, AGAINST
8306652, AGAINST
14368769, AGAINST
14513512, FOR
14803493, FOR
15111744, FOR
16248292, FOR
16624525, FOR
33616444, AGAINST
36636494, FOR
40701142, AGAINST
42196320, FOR
44450457, AGAINST
44650657, AGAINST
50426168, AGAINST
52067288, FOR
52357763, DIVERSE
53059376, DIVERSE
55509279, AGAINST
56643210, FOR
58017260, FOR
62397313, AGAINST
63512448, AGAINST
75997536, FOR
76379893, AGAINST
78593879, AGAINST
80573898, FOR
81871859, AGAINST
82477460, FOR
86266936, FOR
89221733, DIVERSE
94607562, DIVERSE
97232128, FOR
97999053, AGAINST
100201393, FOR
103591569, AGAINST
109035884, DIVERSE
116179209, AGAINST
118970094, AGAINST
126768770, AGAINST
128628690, DIVERSE
130857133, AGAINST
132686355, AGAINST
133266187, AGAINST
136982031, FOR
137140334, AGAINST
149170207, AGAINST
149215500, AGAINST
152014217, AGAINST
160590039, FOR
161113335, FOR
161858629, AGAINST
163041731, FOR
163850165, AGAINST
164979109, DIVERSE
166566887, FOR
167050566, AGAINST
167990892, FOR
179897514, FOR
182473366, FOR
191803770, FOR
198440182, AGAINST
200374750, AGAINST
204298620, DIVERSE
219594539, AGAINST
223621664, AGAINST
224597174, FOR
229980720, AGAINST
230702066, FOR
236134551, AGAINST
238897491, FOR
242851900, DIVERSE
243253280, AGAINST
243419888, DIVERSE
243571016, AGAINST
243687497, FOR
243775933, FOR
244947603, AGAINST
245880979, DIVERSE
246747627, FOR
246754124, FOR
246882277, AGAINST
247227134, FOR
247468980, FOR
247527359, AGAINST
247786110, FOR
247912552, FOR
248188034, AGAINST
248884898, AGAINST
249073389, FOR
249144163, DIVERSE
249654545, FOR
250102231, AGAINST
250295048, FOR
250480066, AGAINST
251009806, AGAINST
251100437, FOR
252254904, FOR
252957203, FOR
254665376, FOR
255587866, FOR
255860716, AGAINST
255935216, DIVERSE
256442158, AGAINST
257651159, FOR
257841422, FOR
258090997, FOR
258699653, AGAINST
259617134, FOR
259649279, AGAINST
260096049, DIVERSE
261730716, FOR
262457844, AGAINST
262819428, FOR
263813012, AGAINST
263891746, FOR
265596724, AGAINST
267714517, DIVERSE
267906742, AGAINST
268545568, FOR
268832429, AGAINST
269174281, AGAINST
269512392, FOR
271063299, FOR
274530882, DIVERSE
274895833, DIVERSE
275423516, FOR
275694766, FOR
280288703, AGAINST
280393461, FOR
281160360, FOR
281269490, FOR
282065689, FOR
289234977, AGAINST
290072000, AGAINST
290178890, FOR
290226508, AGAINST
290632880, FOR
290722577, DIVERSE
291169000, AGAINST
291908441, FOR
294418317, DIVERSE
295836779, AGAINST
297419374, DIVERSE
298512955, DIVERSE
301120393, FOR
