source, target
7970992, 305587868
36636494, 2249591503
36636494, 2793115700
36636494, 3816773441
53059376, 2594563700
53059376, 2622566769
53059376, 720702821843222529
53059376, 859522521238040576
53059376, 885270735014563840
89221733, 2249591503
260096049, 2543403804
260096049, 2793115700
305587868, 7970992
305587868, 2249591503
305587868, 941748940898291712
305587868, 978340608577277954
352489322, 2172260604
352489322, 2249591503
352489322, 2793115700
352489322, 706955613838905345
352489322, 720702821843222529
352489322, 732290670854017025
352489322, 824912061423611904
352489322, 885270735014563840
352489322, 903010726813601794
352489322, 946011088952483842
352489322, 962708176054472704
1837931984, 2793115700
2172260604, 352489322
2172260604, 2249591503
2172260604, 2793115700
2172260604, 4479261983
2172260604, 732290670854017025
2172260604, 978340608577277954
2249591503, 36636494
2249591503, 89221733
2249591503, 305587868
2249591503, 352489322
2249591503, 2172260604
2249591503, 722481611330203649
2249591503, 732290670854017025
2249591503, 795557721177227264
2249591503, 824912061423611904
2249591503, 859522521238040576
2249591503, 946011088952483842
2249591503, 962708176054472704
2249591503, 978340608577277954
2543403804, 260096049
2543403804, 2622566769
2543403804, 2793115700
2543403804, 4479261983
2543403804, 903010726813601794
2543403804, 946011088952483842
2594563700, 53059376
2594563700, 732290670854017025
2594563700, 795557721177227264
2594563700, 946011088952483842
2622566769, 53059376
2622566769, 2543403804
2622566769, 2793115700
2622566769, 4479261983
2622566769, 720702821843222529
2622566769, 732290670854017025
2622566769, 795557721177227264
2622566769, 824912061423611904
2622566769, 962708176054472704
2622566769, 978340608577277954
2793115700, 36636494
2793115700, 260096049
2793115700, 352489322
2793115700, 1837931984
2793115700, 2172260604
2793115700, 2543403804
2793115700, 2622566769
2793115700, 2832605863
2793115700, 4479261983
2793115700, 722481611330203649
2793115700, 946011088952483842
2832605863, 2793115700
3816773441, 36636494
4479261983, 2172260604
4479261983, 2543403804
4479261983, 2622566769
4479261983, 2793115700
4479261983, 722481611330203649
4479261983, 824912061423611904
4479261983, 962708176054472704
4479261983, 978340608577277954
706955613838905345, 352489322
720702821843222529, 53059376
720702821843222529, 352489322
720702821843222529, 2622566769
722481611330203649, 2249591503
722481611330203649, 2793115700
722481611330203649, 4479261983
722481611330203649, 732290670854017025
732290670854017025, 352489322
732290670854017025, 2172260604
732290670854017025, 2249591503
732290670854017025, 2594563700
732290670854017025, 2622566769
732290670854017025, 722481611330203649
795557721177227264, 2249591503
795557721177227264, 2594563700
795557721177227264, 2622566769
824912061423611904, 352489322
824912061423611904, 2249591503
824912061423611904, 2622566769
824912061423611904, 4479261983
859522521238040576, 53059376
859522521238040576, 2249591503
885270735014563840, 53059376
885270735014563840, 352489322
903010726813601794, 352489322
903010726813601794, 2543403804
941748940898291712, 305587868
941748940898291712, 962708176054472704
946011088952483842, 352489322
946011088952483842, 2249591503
946011088952483842, 2543403804
946011088952483842, 2594563700
946011088952483842, 2793115700
962708176054472704, 352489322
962708176054472704, 2249591503
962708176054472704, 2622566769
962708176054472704, 4479261983
962708176054472704, 941748940898291712
978340608577277954, 305587868
978340608577277954, 2172260604
978340608577277954, 2249591503
978340608577277954, 2622566769
978340608577277954, 4479261983
