source, target
8283682, 40701142
8283682, 128628690
8283682, 204298620
8283682, 330557927
8283682, 343126997
8283682, 427024377
8283682, 916943462
8283682, 2211328200
8283682, 2249591503
8283682, 2948787802
8283682, 760805201951481856
8283682, 811165624634318849
8283682, 924476212147343360
8283682, 926572840610091008
8306652, 1470804174
8306652, 2622566769
8306652, 2792349332
8306652, 2802215540
14368769, 290072000
14368769, 916943462
14368769, 2249591503
14368769, 732290670854017025
14368769, 811165624634318849
14368769, 826926409868333056
33616444, 128628690
33616444, 343126997
33616444, 2249591503
36636494, 204298620
36636494, 248188034
36636494, 249144163
36636494, 2249591503
36636494, 2340138522
36636494, 2793115700
36636494, 3816773441
36636494, 736968449008766980
36636494, 962710365393080320
40701142, 8283682
40701142, 128628690
40701142, 152014217
40701142, 164979109
40701142, 204298620
40701142, 236134551
40701142, 247527359
40701142, 256442158
40701142, 269174281
40701142, 280288703
40701142, 290072000
40701142, 343126997
40701142, 352683068
40701142, 353926417
40701142, 384484673
40701142, 427024377
40701142, 485085414
40701142, 608266275
40701142, 739030778
40701142, 861210284
40701142, 916943462
40701142, 1113619861
40701142, 1426692180
40701142, 1548491077
40701142, 2149630553
40701142, 2211328200
40701142, 2249591503
40701142, 2699106120
40701142, 2841137133
40701142, 2940085139
40701142, 2948787802
40701142, 3402072700
40701142, 4486485741
40701142, 732290670854017025
40701142, 757717328524083200
40701142, 790245445087981568
40701142, 805075465291579392
40701142, 811165624634318849
40701142, 827877724031184896
40701142, 847963797054685184
40701142, 859522521238040576
40701142, 868121776257105921
40701142, 926572840610091008
40701142, 928103143132590080
40701142, 962708176054472704
40701142, 971291298639613953
40701142, 972510449806823428
40701142, 975159819828125698
42196320, 52357763
42196320, 128628690
42196320, 133266187
42196320, 260096049
42196320, 274895833
42196320, 336851152
42196320, 369608964
42196320, 999015997
42196320, 2316138426
42196320, 2340138522
42196320, 2573151897
42196320, 2699106120
42196320, 2792349332
42196320, 3816773441
42196320, 4015698976
42196320, 760805201951481856
42196320, 809007545574625280
42196320, 854432125893959680
42196320, 974952462405783552
44450457, 50426168
44450457, 76379893
44450457, 97999053
44450457, 128628690
44450457, 167050566
44450457, 200374750
44450457, 204298620
44450457, 243419888
44450457, 256442158
44450457, 268832429
44450457, 280288703
44450457, 290072000
44450457, 334099422
44450457, 352683068
44450457, 410955818
44450457, 438582009
44450457, 711038648
44450457, 916943462
44450457, 1226994534
44450457, 1548491077
44450457, 1661377213
44450457, 2249591503
44450457, 2622566769
44450457, 2699106120
44450457, 2841137133
44450457, 2948787802
44450457, 3402072700
44450457, 3941902707
44450457, 4729581921
44450457, 824912061423611904
44450457, 854771347288883207
44450457, 891615821725827072
44450457, 947510147211022337
44450457, 955244977352855552
44450457, 958368530843529216
44450457, 973644650237124610
44650657, 259649279
44650657, 1548491077
44650657, 2249591503
44650657, 2622566769
44650657, 2792349332
44650657, 2793115700
50426168, 44450457
50426168, 334099422
50426168, 1661377213
50426168, 2249591503
50426168, 2792349332
50426168, 824912061423611904
50426168, 847963797054685184
50426168, 962708176054472704
50426168, 978340608577277954
52357763, 42196320
52357763, 437292351
52357763, 714962101
52357763, 2249591503
52357763, 2426506130
52357763, 2792349332
52357763, 2793115700
52357763, 4479261983
52357763, 4730976502
52357763, 706955613838905345
52357763, 778881899716571136
52357763, 856884402063802368
52357763, 939980283532767233
52357763, 947510147211022337
52357763, 963498029255938048
52357763, 972523298700627969
53059376, 55509279
53059376, 149170207
53059376, 149215500
53059376, 249144163
53059376, 616278725
53059376, 704769648
53059376, 1574912846
53059376, 1720125462
53059376, 2418784220
53059376, 2478566467
53059376, 2594563700
53059376, 2622566769
53059376, 2699106120
53059376, 2926325320
53059376, 3303310637
53059376, 3385639619
53059376, 3978237134
53059376, 720702821843222529
