id, node_color
7970992, FOR
14513512, FOR
36636494, FOR
53059376, DIVERSE
89221733, DIVERSE
224597174, FOR
260096049, DIVERSE
290178890, FOR
305587868, FOR
352489322, AGAINST
421110584, FOR
624557599, FOR
1837931984, DIVERSE
2172260604, AGAINST
2249591503, AGAINST
2258288874, FOR
2316138426, AGAINST
2543403804, AGAINST
2594563700, AGAINST
2622566769, DIVERSE
2793115700, DIVERSE
2832605863, DIVERSE
3816773441, DIVERSE
4479261983, AGAINST
4643082382, AGAINST
706955613838905345, AGAINST
720702821843222529, AGAINST
722481611330203649, AGAINST
732290670854017025, DIVERSE
795557721177227264, AGAINST
824912061423611904, DIVERSE
859522521238040576, DIVERSE
885270735014563840, AGAINST
903010726813601794, DIVERSE
936223866912935936, AGAINST
941748940898291712, AGAINST
946011088952483842, DIVERSE
962708176054472704, DIVERSE
978340608577277954, AGAINST
