id, node_color
7970992, DIVERSE
14513512, DIVERSE
14803493, DIVERSE
15111744, DIVERSE
16248292, DIVERSE
16624525, DIVERSE
36636494, DIVERSE
42196320, DIVERSE
52067288, DIVERSE
52357763, DIVERSE
53059376, DIVERSE
56643210, PROPAGANDA
58017260, DIVERSE
75997536, DIVERSE
80573898, DIVERSE
82477460, DIVERSE
86266936, PROPAGANDA
89221733, DIVERSE
94607562, DIVERSE
97232128, DIVERSE
100201393, DIVERSE
103591569, PROPAGANDA
109035884, DIVERSE
118970094, NON_PROPAGANDA
133266187, DIVERSE
136982031, DIVERSE
137140334, DIVERSE
160590039, PROPAGANDA
161113335, PROPAGANDA
163041731, DIVERSE
166566887, PROPAGANDA
167990892, DIVERSE
179897514, DIVERSE
182473366, DIVERSE
191803770, DIVERSE
204298620, DIVERSE
224597174, PROPAGANDA
229980720, NON_PROPAGANDA
230702066, DIVERSE
238897491, DIVERSE
243253280, PROPAGANDA
243419888, DIVERSE
243687497, DIVERSE
243775933, DIVERSE
245880979, DIVERSE
246747627, DIVERSE
246754124, DIVERSE
247227134, DIVERSE
247468980, DIVERSE
247786110, PROPAGANDA
247912552, DIVERSE
248188034, DIVERSE
249073389, DIVERSE
249144163, DIVERSE
249654545, DIVERSE
250295048, DIVERSE
251100437, DIVERSE
252254904, DIVERSE
252957203, DIVERSE
254665376, DIVERSE
255587866, DIVERSE
255935216, DIVERSE
257651159, DIVERSE
257841422, DIVERSE
258090997, DIVERSE
259617134, DIVERSE
260096049, DIVERSE
261730716, PROPAGANDA
262819428, DIVERSE
263891746, DIVERSE
267714517, DIVERSE
268545568, DIVERSE
269512392, DIVERSE
271063299, PROPAGANDA
274530882, DIVERSE
274895833, DIVERSE
275423516, PROPAGANDA
275694766, DIVERSE
280393461, DIVERSE
281160360, DIVERSE
281269490, DIVERSE
282065689, DIVERSE
290072000, DIVERSE
290178890, DIVERSE
290632880, DIVERSE
290722577, DIVERSE
291908441, DIVERSE
297419374, DIVERSE
301120393, DIVERSE
305587868, DIVERSE
306260807, DIVERSE
319901569, DIVERSE
320954038, DIVERSE
323870386, PROPAGANDA
326074480, DIVERSE
327722701, DIVERSE
328206473, DIVERSE
334057976, DIVERSE
334670309, DIVERSE
336851152, NON_PROPAGANDA
352400028, NON_PROPAGANDA
357239860, DIVERSE
358040356, DIVERSE
363246406, DIVERSE
363845524, PROPAGANDA
368142886, DIVERSE
369608964, DIVERSE
370556715, DIVERSE
375468504, DIVERSE
377062312, DIVERSE
377220633, DIVERSE
378231256, DIVERSE
385535951, DIVERSE
394864353, PROPAGANDA
398171803, DIVERSE
399963628, DIVERSE
404218794, PROPAGANDA
410955818, DIVERSE
411346195, DIVERSE
414187574, DIVERSE
415414097, DIVERSE
416440594, DIVERSE
418443466, DIVERSE
419233834, DIVERSE
419765116, PROPAGANDA
421110584, DIVERSE
424194891, PROPAGANDA
425687930, DIVERSE
425912197, DIVERSE
432424572, DIVERSE
432618159, DIVERSE
432844043, PROPAGANDA
436462735, PROPAGANDA
438582009, DIVERSE
446318129, DIVERSE
450704412, DIVERSE
455143024, DIVERSE
458777194, DIVERSE
460729951, DIVERSE
464820783, DIVERSE
466446202, PROPAGANDA
469544027, DIVERSE
476356296, DIVERSE
490086192, PROPAGANDA
491283324, DIVERSE
501961323, DIVERSE
518476056, DIVERSE
526343521, DIVERSE
549912548, DIVERSE
552909996, DIVERSE
563885375, DIVERSE
567229050, DIVERSE
567564394, DIVERSE
575277349, DIVERSE
586845018, DIVERSE
592314798, DIVERSE
597101298, DIVERSE
608149239, DIVERSE
612992455, PROPAGANDA
615314107, DIVERSE
616278725, DIVERSE
622054128, DIVERSE
624557599, DIVERSE
624686972, DIVERSE
625407310, DIVERSE
634658827, DIVERSE
635576995, DIVERSE
700268907, NON_PROPAGANDA
701054891, DIVERSE
709327033, DIVERSE
715219325, DIVERSE
728704327, DIVERSE
737493661, DIVERSE
754335954, DIVERSE
783313538, DIVERSE
787211599, DIVERSE
793643882, DIVERSE
810987649, PROPAGANDA
836508619, DIVERSE
856930862, DIVERSE
857868018, DIVERSE
