source, target
7970992, 301120393
7970992, 305587868
7970992, 1385863352
7970992, 2319472112
7970992, 2582582359
7970992, 3003603519
7970992, 3435893926
7970992, 731448075105996800
7970992, 955828986038407169
8283682, 40701142
8283682, 128628690
8283682, 204298620
8283682, 330557927
8283682, 343126997
8283682, 427024377
8283682, 916943462
8283682, 2211328200
8283682, 2249591503
8283682, 2948787802
8283682, 760805201951481856
8283682, 811165624634318849
8283682, 924476212147343360
8283682, 926572840610091008
8306652, 1470804174
8306652, 2622566769
8306652, 2792349332
8306652, 2802215540
14368769, 290072000
14368769, 916943462
14368769, 2249591503
14368769, 732290670854017025
14368769, 811165624634318849
14368769, 826926409868333056
14513512, 80573898
14513512, 243687497
14513512, 290632880
14513512, 319901569
14513512, 323870386
14513512, 327722701
14513512, 328206473
14513512, 518476056
14513512, 608149239
14513512, 974476958
14513512, 996705444
14513512, 1641459038
14513512, 1938878996
14513512, 2154420058
14513512, 2437605457
14513512, 2484697919
14513512, 2582582359
14513512, 2587029252
14513512, 2592887184
14513512, 712612878717743104
14513512, 742307620606889984
14513512, 783099007971262464
14513512, 923766052366028800
14513512, 934228610772324352
14803493, 301120393
14803493, 597101298
14803493, 2506738925
14803493, 2954089838
14803493, 837081771472715781
15111744, 615314107
16248292, 94607562
16248292, 301120393
16248292, 319901569
16248292, 754335954
16248292, 1728380701
16248292, 1927514377
16248292, 3055703094
16248292, 731448075105996800
16248292, 837081771472715781
16624525, 80573898
16624525, 161113335
16624525, 238897491
16624525, 281160360
16624525, 306260807
16624525, 414187574
16624525, 432618159
16624525, 455143024
16624525, 518476056
16624525, 567564394
16624525, 2219659092
16624525, 2861144914
16624525, 2955998474
16624525, 3055703094
16624525, 783099007971262464
16624525, 819246519983472652
16624525, 844546626299609088
33616444, 128628690
33616444, 343126997
33616444, 2249591503
36636494, 80573898
36636494, 86266936
36636494, 204298620
36636494, 229980720
36636494, 248188034
36636494, 249144163
36636494, 254665376
36636494, 263891746
36636494, 377062312
36636494, 424194891
36636494, 432424572
36636494, 518476056
36636494, 1018255609
36636494, 1092542761
36636494, 1591529323
36636494, 1674182551
36636494, 2249591503
36636494, 2340138522
36636494, 2793115700
36636494, 3323870657
36636494, 3816773441
36636494, 706217324563578881
36636494, 736968449008766980
36636494, 744546109394124800
36636494, 962710365393080320
40701142, 8283682
40701142, 128628690
40701142, 152014217
40701142, 164979109
40701142, 204298620
40701142, 236134551
40701142, 247527359
40701142, 256442158
40701142, 269174281
40701142, 280288703
40701142, 290072000
40701142, 343126997
40701142, 352683068
40701142, 353926417
40701142, 384484673
40701142, 427024377
40701142, 485085414
40701142, 608266275
40701142, 739030778
40701142, 861210284
40701142, 916943462
40701142, 1113619861
40701142, 1426692180
40701142, 1548491077
40701142, 2149630553
40701142, 2211328200
40701142, 2249591503
40701142, 2699106120
40701142, 2841137133
40701142, 2940085139
40701142, 2948787802
40701142, 3402072700
40701142, 4486485741
40701142, 732290670854017025
40701142, 757717328524083200
40701142, 790245445087981568
40701142, 805075465291579392
40701142, 811165624634318849
40701142, 827877724031184896
40701142, 847963797054685184
40701142, 859522521238040576
40701142, 868121776257105921
40701142, 926572840610091008
40701142, 928103143132590080
40701142, 962708176054472704
40701142, 971291298639613953
40701142, 972510449806823428
40701142, 975159819828125698
42196320, 52357763
42196320, 75997536
42196320, 80573898
42196320, 128628690
42196320, 133266187
42196320, 224597174
42196320, 243687497
42196320, 246754124
42196320, 247786110
42196320, 260096049
42196320, 274895833
42196320, 326074480
42196320, 336851152
42196320, 369608964
42196320, 399963628
42196320, 476356296
42196320, 999015997
42196320, 1002650592
42196320, 1280752188
42196320, 1340284172
42196320, 1664756965
42196320, 2316138426
42196320, 2340138522
42196320, 2573151897
42196320, 2699106120
42196320, 2742009028
42196320, 2792349332
42196320, 3816773441
42196320, 4015698976
42196320, 726196189524295680
42196320, 726911179063451648
42196320, 760805201951481856
42196320, 809007545574625280
42196320, 854432125893959680
42196320, 974952462405783552
44450457, 50426168
44450457, 76379893
44450457, 97999053
44450457, 128628690
44450457, 167050566
44450457, 200374750
44450457, 204298620
44450457, 243419888
44450457, 256442158
44450457, 268832429
44450457, 280288703
44450457, 290072000
44450457, 334099422
44450457, 352683068
44450457, 410955818
44450457, 438582009
44450457, 711038648
44450457, 916943462
44450457, 1226994534
44450457, 1548491077
44450457, 1661377213
44450457, 2249591503
44450457, 2622566769
44450457, 2699106120
44450457, 2841137133
44450457, 2948787802
44450457, 3402072700
44450457, 3941902707
44450457, 4729581921
44450457, 824912061423611904
44450457, 854771347288883207
44450457, 891615821725827072
44450457, 947510147211022337
44450457, 955244977352855552
44450457, 958368530843529216
44450457, 973644650237124610
44650657, 259649279
44650657, 1548491077
44650657, 2249591503
44650657, 2622566769
44650657, 2792349332
44650657, 2793115700
50426168, 44450457
50426168, 334099422
50426168, 1661377213
50426168, 2249591503
50426168, 2792349332
50426168, 824912061423611904
50426168, 847963797054685184
50426168, 962708176054472704
50426168, 978340608577277954
52067288, 80573898
52067288, 160590039
52067288, 229980720
52067288, 238897491
52067288, 246754124
52067288, 249654545
52067288, 255935216
52067288, 274895833
52067288, 297419374
52067288, 377062312
52067288, 378231256
52067288, 399963628
52067288, 432424572
52067288, 446318129
52067288, 476356296
52067288, 810987649
52067288, 1061600605
52067288, 1278543582
52067288, 1707859914
52067288, 1871994199
52067288, 2191892464
52067288, 2277166103
52067288, 2316138426
52067288, 3260615157
52067288, 3413314515
52067288, 3816773441
52067288, 724530619087245312
52067288, 726911179063451648
52067288, 797352935432867840
52067288, 798592068679593984
52067288, 839466290217648128
52067288, 915384226270375943
52067288, 958368530843529216
52067288, 960429091211145217
52067288, 962647623567110144
52067288, 964085293455462402
52067288, 974739644154867712
52067288, 978402835476992000
52357763, 42196320
52357763, 437292351
52357763, 714962101
52357763, 2249591503
52357763, 2426506130
52357763, 2792349332
52357763, 2793115700
52357763, 4479261983
52357763, 4730976502
52357763, 706955613838905345
52357763, 778881899716571136
52357763, 856884402063802368
52357763, 939980283532767233
52357763, 947510147211022337
52357763, 963498029255938048
52357763, 972523298700627969
53059376, 55509279
53059376, 56643210
53059376, 149170207
53059376, 149215500
53059376, 243775933
53059376, 249144163
53059376, 334057976
53059376, 616278725
53059376, 704769648
53059376, 1385863352
53059376, 1460798930
53059376, 1529698447
53059376, 1574912846
53059376, 1720125462
53059376, 2223258386
53059376, 2292758505
53059376, 2418784220
53059376, 2478566467
53059376, 2594563700
53059376, 2622566769
53059376, 2699106120
53059376, 2926325320
53059376, 3303310637
53059376, 3385639619
53059376, 3413314515
53059376, 3978237134
53059376, 720702821843222529
53059376, 800285974030782464
53059376, 805075465291579392
53059376, 846572563018993665
53059376, 852294322506649602
53059376, 854771347288883207
53059376, 859522521238040576
53059376, 867922545407864833
53059376, 879026248470712320
53059376, 882983595073306624
53059376, 885270735014563840
53059376, 887472753405825024
53059376, 907721180538384384
53059376, 917345666418073600
53059376, 950072836030451712
53059376, 962341685027065856
55509279, 53059376
55509279, 1548491077
55509279, 2802215540
56643210, 53059376
56643210, 166566887
56643210, 301120393
56643210, 526343521
56643210, 1002844374
56643210, 1385863352
56643210, 736509061441703936
56643210, 821313315309834240
58017260, 290178890
58017260, 301120393
58017260, 306260807
58017260, 363246406
58017260, 615314107
58017260, 754335954
58017260, 927351564
58017260, 1002844374
58017260, 1340284172
58017260, 1438404972
58017260, 2224962036
58017260, 2582582359
58017260, 2951658069
58017260, 2954089838
58017260, 942394622797639680
62397313, 352489322
62397313, 427024377
62397313, 437292351
62397313, 916943462
62397313, 1063501603
62397313, 2342542776
62397313, 827158099505053696
62397313, 905037939427692545
62397313, 916553749438529536
62397313, 957594310958026754
63512448, 128628690
63512448, 167050566
63512448, 336851152
63512448, 916943462
63512448, 2622566769
63512448, 2792349332
63512448, 2793115700
75997536, 42196320
75997536, 301120393
75997536, 327722701
75997536, 328206473
75997536, 526343521
75997536, 1002844374
75997536, 1385863352
75997536, 2224962036
75997536, 2582582359
76379893, 44450457
76379893, 290072000
76379893, 916943462
76379893, 2792349332
78593879, 81871859
78593879, 290072000
78593879, 2249591503
78593879, 2594563700
78593879, 2699106120
78593879, 4285870036
78593879, 732290670854017025
78593879, 944677444115673088
80573898, 14513512
80573898, 16624525
80573898, 36636494
80573898, 42196320
80573898, 52067288
80573898, 301120393
80573898, 305587868
80573898, 419765116
80573898, 1002844374
80573898, 1183658534
80573898, 2954089838
80573898, 794260826798559233
81871859, 78593879
81871859, 116179209
81871859, 280288703
81871859, 290072000
81871859, 343126997
81871859, 578919588
81871859, 916943462
81871859, 1355953423
81871859, 2249591503
81871859, 2699106120
81871859, 2948787802
81871859, 4729581921
81871859, 722481611330203649
82477460, 86266936
82477460, 136982031
82477460, 224597174
82477460, 230702066
82477460, 243687497
82477460, 247468980
82477460, 251100437
82477460, 254665376
82477460, 255587866
82477460, 274530882
82477460, 319901569
82477460, 377220633
82477460, 432424572
82477460, 491283324
82477460, 567229050
82477460, 592314798
82477460, 612992455
82477460, 728704327
82477460, 783313538
82477460, 1529698447
82477460, 1641459038
82477460, 1664756965
82477460, 1728380701
82477460, 1904138971
82477460, 2165607934
82477460, 2185059396
82477460, 2292758505
82477460, 2352970223
82477460, 2399339752
82477460, 2475077852
82477460, 2580174954
82477460, 2592887184
82477460, 2820698229
82477460, 2954089838
82477460, 2955998474
82477460, 3018337576
82477460, 3318544431
82477460, 4381153354
82477460, 4544956708
82477460, 719277033503780865
82477460, 724530619087245312
82477460, 735560020310544389
82477460, 742799027587174400
82477460, 773054843950927872
82477460, 804021283646304256
82477460, 812330176939966464
82477460, 847360297660579840
82477460, 887472753405825024
82477460, 900058096034361345
82477460, 915384226270375943
82477460, 923766052366028800
82477460, 928599515854262272
82477460, 931121059818074112
82477460, 934395557531082752
82477460, 955828986038407169
82477460, 974405745688170497
82477460, 975437930641674240
82477460, 976913351556165632
86266936, 36636494
86266936, 82477460
86266936, 301120393
86266936, 363246406
86266936, 2580174954
89221733, 116179209
89221733, 164979109
89221733, 259649279
89221733, 336851152
89221733, 343126997
89221733, 715219325
89221733, 916943462
89221733, 1506170269
89221733, 1871994199
89221733, 2249591503
89221733, 2360175272
89221733, 2792349332
89221733, 2948787802
89221733, 719721270070353921
89221733, 722433365517955072
89221733, 842004888603262977
89221733, 889023757871964160
94607562, 16248292
94607562, 243775933
94607562, 305587868
94607562, 419765116
94607562, 526343521
94607562, 1002844374
94607562, 1385863352
94607562, 837081771472715781
97232128, 243687497
97232128, 249654545
97232128, 251100437
97232128, 319901569
97232128, 326074480
97232128, 377062312
97232128, 411346195
97232128, 586845018
97232128, 999015997
97232128, 1018255609
97232128, 1570421118
97232128, 1904138971
97232128, 2910159072
97232128, 3260615157
97232128, 3816773441
97232128, 713103256742936576
97232128, 726911179063451648
97232128, 744546109394124800
97232128, 928025225769443329
97232128, 973135425660432386
97999053, 44450457
97999053, 128628690
97999053, 343126997
97999053, 916943462
97999053, 2792349332
97999053, 3349586973
100201393, 334057976
100201393, 490086192
100201393, 1927514377
100201393, 2582582359
100201393, 3154036550
100201393, 3795619754
100201393, 967817169143828490
103591569, 200374750
103591569, 204298620
103591569, 608266275
103591569, 616278725
103591569, 1318153052
103591569, 1426692180
103591569, 1548491077
103591569, 1720125462
103591569, 2149630553
103591569, 2211328200
103591569, 2249591503
103591569, 2426506130
103591569, 2910159072
103591569, 2948787802
103591569, 3402072700
103591569, 3666388997
103591569, 4180805981
103591569, 732290670854017025
103591569, 790245445087981568
103591569, 811165624634318849
103591569, 824912061423611904
103591569, 827643454071140354
103591569, 827877724031184896
103591569, 842004888603262977
103591569, 843538544853471235
103591569, 847963797054685184
103591569, 859522521238040576
103591569, 889023757871964160
103591569, 895782680633253888
103591569, 911718398442209280
103591569, 941396980865093632
103591569, 947510147211022337
103591569, 960943194761498624
103591569, 962708176054472704
103591569, 962710365393080320
103591569, 971469536724770817
103591569, 972510449806823428
103591569, 973267735374450688
103591569, 973644650237124610
103591569, 975159819828125698
103591569, 978340608577277954
109035884, 161113335
109035884, 370556715
109035884, 419233834
109035884, 450704412
109035884, 597101298
109035884, 1340284172
109035884, 1385863352
109035884, 1438404972
109035884, 1927514377
109035884, 2292758505
109035884, 2506738925
109035884, 2951658069
109035884, 727904477353783296
109035884, 729034544242933760
109035884, 799430289554624514
109035884, 803790087544770561
109035884, 860509901046640644
109035884, 894548629205254144
109035884, 907721180538384384
109035884, 918597513640374272
109035884, 925373976905420801
109035884, 929811697308717062
109035884, 955186904714170371
109035884, 970362267073155073
